Time resolution is 1 ps
[8830000 ns] led_out = 0011111111111111
[8850000 ns] led_out = 0001111111111111
[8870000 ns] led_out = 0000111111111111
[8890000 ns] led_out = 0001111111111111
[8910000 ns] led_out = 0011111111111111
[8930000 ns] led_out = 0111111111111111
[8950000 ns] led_out = 1111111111111111
[8970000 ns] led_out = 1111111111111110
[8990000 ns] led_out = 1111111111111100
[9010000 ns] led_out = 1111111111111000
[9030000 ns] led_out = 1111111111110000
[9050000 ns] led_out = 1111111111111000
[9070000 ns] led_out = 1111111111111100
[9090000 ns] led_out = 1111111111111110
[9110000 ns] led_out = 1111111111111111
[9130000 ns] led_out = 1111111111111110
[9150000 ns] led_out = 1111111111111100
[9170000 ns] led_out = 1111111111111000
[9190000 ns] led_out = 1111111111110000
[9210000 ns] led_out = 1111111111100000
[9230000 ns] led_out = 1111111111000000
[9250000 ns] led_out = 1111111110000000
[9270000 ns] led_out = 1111111100000000
[9290000 ns] led_out = 1111111110000000
[9310000 ns] led_out = 1111111111000000
[9330000 ns] led_out = 1111111111100000
[9350000 ns] led_out = 1111111111110000
[9370000 ns] led_out = 1111111111100000
[9390000 ns] led_out = 1111111111000000
[9410000 ns] led_out = 1111111110000000
[9430000 ns] led_out = 1111111100000000
[9450000 ns] led_out = 1111111000000000
[9470000 ns] led_out = 1111110000000000
[9490000 ns] led_out = 1111100000000000
[9510000 ns] led_out = 1111000000000000
[9530000 ns] led_out = 1111100000000000
[9550000 ns] led_out = 1111110000000000
[9570000 ns] led_out = 1111111000000000
[9590000 ns] led_out = 1111111100000000
[9610000 ns] led_out = 1111111000000000
[9630000 ns] led_out = 1111110000000000
[9650000 ns] led_out = 1111100000000000
[9670000 ns] led_out = 1111000000000000
[9690000 ns] led_out = 1110000000000000
[9710000 ns] led_out = 1100000000000000
[9730000 ns] led_out = 1000000000000000
[9750000 ns] led_out = 0000000000000000
[9770000 ns] led_out = 1000000000000000
[9790000 ns] led_out = 1100000000000000
[9810000 ns] led_out = 1110000000000000
[9830000 ns] led_out = 1111000000000000
[9850000 ns] led_out = 1110000000000000
[9870000 ns] led_out = 1100000000000000
[9890000 ns] led_out = 1000000000000000
[9910000 ns] led_out = 0000000000000000
[9930000 ns] led_out = 0000000000000001
[9950000 ns] led_out = 0000000000000011
[9970000 ns] led_out = 0000000000000111
[9990000 ns] led_out = 0000000000001111
[10010000 ns] led_out = 0000000000000111
[10030000 ns] led_out = 0000000000000011
[10050000 ns] led_out = 0000000000000001
[10070000 ns] led_out = 0000000000000000
[10090000 ns] led_out = 0000000000000001
[10110000 ns] led_out = 0000000000000011
[10130000 ns] led_out = 0000000000000111
[10150000 ns] led_out = 0000000000001111
[10170000 ns] led_out = 0000000000011111
[10190000 ns] led_out = 0000000000111111
[10210000 ns] led_out = 0000000001111111
[10230000 ns] led_out = 0000000011111111
[10250000 ns] led_out = 0000000001111111
[10270000 ns] led_out = 0000000000111111
[10290000 ns] led_out = 0000000000011111
[10310000 ns] led_out = 0000000000001111
[10330000 ns] led_out = 0000000000011111
[10350000 ns] led_out = 0000000000111111
[10370000 ns] led_out = 0000000001111111
[10390000 ns] led_out = 0000000011111111
[10410000 ns] led_out = 0000000111111111
[10430000 ns] led_out = 0000001111111111
[10450000 ns] led_out = 0000011111111111
[10470000 ns] led_out = 0000111111111111
[10490000 ns] led_out = 0000011111111111
[10510000 ns] led_out = 0000001111111111
[10530000 ns] led_out = 0000000111111111
[10550000 ns] led_out = 0000000011111111
[10570000 ns] led_out = 0000000111111111
[10590000 ns] led_out = 0000001111111111
[10610000 ns] led_out = 0000011111111111
[10630000 ns] led_out = 0000111111111111
[10650000 ns] led_out = 0001111111111111
[10670000 ns] led_out = 0011111111111111
[10690000 ns] led_out = 0111111111111111
[10710000 ns] led_out = 1111111111111111
[10730000 ns] led_out = 0111111111111111
